Usage statistics from between 17:00 and 8:00 each day
,Collins (kWh),Main (kWh),DHB (kWh),Collins ($),Main ($),DHB ($)
2015-11-28,312.9899999999907,1940.0,141.79000000000087,50.07839999999851,310.40000000000003,22.68640000000014
2015-11-29,520.0999999999913,2653.0,180.36999999999534,83.2159999999986,424.48,28.859199999999255
2015-11-30,518.1399999999994,2872.0,221.5,82.90239999999991,459.52,35.44
2015-12-01,500.56999999999243,2616.0,208.86000000000058,80.09119999999879,418.56,33.41760000000009
2015-12-02,612.1500000000087,2636.0,211.37000000000262,97.9440000000014,421.76,33.81920000000042
2015-12-03,300.9799999999959,2281.0,228.04999999999563,48.15679999999935,364.96,36.4879999999993
2015-12-04,349.2700000000041,2072.0,148.87000000000262,55.883200000000656,331.52,23.819200000000418
2015-12-05,544.25,2355.0,141.65000000000146,87.08,376.8,22.664000000000232
2015-12-06,572.9400000000023,2647.0,169.07000000000698,91.67040000000037,423.52,27.051200000001117
2015-12-07,669.429999999993,2805.0,200.02000000000407,107.10879999999888,448.8,32.00320000000065
2015-12-08,714.0500000000029,2768.0,197.4100000000035,114.24800000000047,442.88,31.58560000000056
2015-12-09,659.1300000000047,2713.0,216.98999999999796,105.46080000000075,434.08,34.718399999999676
2015-12-10,484.11999999999534,2647.0,254.80999999999767,77.45919999999926,423.52,40.76959999999963
2015-12-11,505.3700000000099,2104.0,141.63000000000466,80.85920000000158,336.64,22.660800000000744
2015-12-12,496.63000000000466,1881.0,131.67000000000553,79.46080000000075,300.96,21.067200000000884
2015-12-13,336.8899999999994,2157.0,166.47000000000116,53.90239999999991,345.12,26.635200000000186
2015-12-14,213.33000000000175,2247.0,236.0300000000061,34.13280000000028,359.52,37.76480000000098
2015-12-15,239.88999999999942,2325.0,193.87999999999738,38.382399999999905,372.0,31.020799999999582
2015-12-16,347.6399999999994,2563.0,198.06000000000495,55.62239999999991,410.08,31.68960000000079
2015-12-17,231.47999999999593,2190.0,196.45000000000437,37.036799999999346,350.40000000000003,31.4320000000007
2015-12-18,251.8299999999872,1997.0,127.77999999999884,40.29279999999795,319.52,20.444799999999812
2015-12-19,675.1100000000006,2425.0,123.97999999999593,108.0176000000001,388.0,19.83679999999935
2015-12-20,353.1600000000035,2453.0,156.04000000000087,56.50560000000056,392.48,24.96640000000014
2015-12-21,373.9499999999971,2231.0,188.0699999999997,59.83199999999954,356.96,30.091199999999954
2015-12-22,395.75,2486.0,192.72000000000116,63.32,397.76,30.83520000000019
2015-12-23,337.0,1841.0,129.52000000000407,53.92,294.56,20.723200000000652
2015-12-24,203.3000000000029,1427.0,114.56999999999243,32.52800000000047,228.32,18.33119999999879
2015-12-25,141.60000000000582,1612.0,158.33000000000175,22.656000000000933,257.92,25.33280000000028
2015-12-26,140.60000000000582,1676.0,155.77999999999884,22.496000000000933,268.16,24.924799999999813
2015-12-27,158.0,1925.0,163.36000000000058,25.28,308.0,26.137600000000095
2015-12-28,341.3000000000029,2394.0,194.41999999999825,54.608000000000466,383.04,31.10719999999972
2015-12-29,387.3000000000029,2429.0,132.36000000000058,61.968000000000465,388.64,21.177600000000094
2015-12-30,349.5,2347.0,142.38999999999942,55.92,375.52,22.782399999999907
2015-12-31,361.0,2165.0,312.2600000000093,57.76,346.40000000000003,49.96160000000149
2016-01-01,252.3000000000029,2055.0,121.69000000000233,40.368000000000464,328.8,19.470400000000375
2016-01-02,343.8000000000029,2225.0,118.72000000000116,55.008000000000465,356.0,18.995200000000185
2016-01-03,645.8000000000029,2853.0,163.4600000000064,103.32800000000047,456.48,26.153600000001024
2016-01-04,1151.4000000000087,3634.0,184.55999999999767,184.2240000000014,581.44,29.52959999999963
2016-01-05,908.8999999999942,3348.0,180.0,145.42399999999907,535.6800000000001,28.8
2016-01-06,665.5,3108.0,201.7100000000064,106.48,497.28000000000003,32.273600000001025
2016-01-07,458.3999999999942,2852.0,211.1999999999971,73.34399999999907,456.32,33.79199999999953
2016-01-08,763.1000000000058,2463.0,123.14999999999418,122.09600000000093,394.08,19.70399999999907
2016-01-09,754.2999999999884,2278.0,123.07000000000698,120.68799999999814,364.48,19.691200000001118
2016-01-10,348.3000000000029,2335.0,158.9499999999971,55.72800000000046,373.6,25.431999999999533
2016-01-11,696.6000000000058,3092.0,174.33000000000175,111.45600000000093,494.72,27.89280000000028
2016-01-12,586.8000000000029,2973.0,182.16999999999825,93.88800000000047,475.68,29.14719999999972
2016-01-13,690.6000000000058,2706.0,174.38999999999942,110.49600000000093,432.96000000000004,27.902399999999908
2016-01-14,696.3999999999942,2793.0,176.6999999999971,111.42399999999907,446.88,28.271999999999537
2016-01-15,460.1000000000058,2293.0,147.25999999999476,73.61600000000094,366.88,23.561599999999164
2016-01-16,323.1000000000058,2118.0,144.86000000000058,51.696000000000936,338.88,23.177600000000094
2016-01-17,414.1999999999971,2266.0,149.0500000000029,66.27199999999954,362.56,23.848000000000464
2016-01-18,778.0,2948.0,183.6999999999971,124.48,471.68,29.391999999999534
2016-01-19,902.7000000000116,3245.0,174.59999999999127,144.43200000000186,519.2,27.935999999998604
2016-01-20,647.6000000000058,2751.0,176.2399999999907,103.61600000000094,440.16,28.19839999999851
2016-01-21,496.3000000000029,2592.0,178.4600000000064,79.40800000000047,414.72,28.553600000001026
2016-01-22,326.90000000000873,2115.0,141.7100000000064,52.304000000001395,338.40000000000003,22.673600000001024
2016-01-23,376.8000000000029,2340.0,130.88999999999942,60.288000000000466,374.40000000000003,20.942399999999907
2016-01-24,443.5,2653.0,167.17999999999302,70.96000000000001,424.48,26.748799999998884
2016-01-25,254.09999999999127,1653.0,114.75,40.655999999998606,264.48,18.36
